,ID,Tower,Floor,Unit,Area,Flat Type,No. of Rooms,Price,Price/SA,Date_PASP,Date_ASP,Trans_Price,Payment_Terms,first_sale
0,One_VicTower 1A1A,Tower 1A,1,A,643,3BR + 2B + 1K,3BR,"16,137,000","25,096",03/07/2021,03/07/2021,"$13,958,000",A,03/07/2021
1,One_VicTower 1A1B,Tower 1A,1,B,444,2BR + 1B + 1OK,2BR,"10,613,000","23,903",03/07/2021,03/07/2021,"$9,604,000",C,03/07/2021
2,One_VicTower 1A1C,Tower 1A,1,C,438,2BR + 1B + 1OK,2BR,"10,739,000","24,518",10/07/2021,10/07/2021,"$9,718,000",C,
3,One_VicTower 1A1D,Tower 1A,1,D,444,2BR + 1B + 1OK,2BR,"11,355,000","25,574",03/07/2021,03/07/2021,"$9,822,000",A,03/07/2021
4,One_VicTower 1A1E,Tower 1A,1,E,426,2BR + 1B + 1OK,2BR,"11,009,000","25,843",03/07/2021,03/07/2021,"$9,963,000",C,03/07/2021
5,One_VicTower 1A1F,Tower 1A,1,F,447,2BR + 1B + 1OK,2BR,"11,991,000","26,826",10/07/2021,10/07/2021,"$10,492,000",B,
6,One_VicTower 1A1G,Tower 1A,1,G,765,3BR + 2B + 1K + 1S,3BR,"20,817,000","27,212",03/07/2021,03/07/2021,"$18,839,000",C,03/07/2021
7,One_VicTower 1A1H,Tower 1A,1,H,643,3BR + 2B + 1K,3BR,"17,659,000","27,463",,,,,
8,One_VicTower 1A2A,Tower 1A,2,A,643,3BR + 2B + 1K,3BR,"16,434,000","25,558",03/07/2021,03/07/2021,"$14,872,000",C,03/07/2021
9,One_VicTower 1A2B,Tower 1A,2,B,444,2BR + 1B + 1OK,2BR,"10,964,000","24,694",03/07/2021,03/07/2021,"$9,483,000",A,03/07/2021
10,One_VicTower 1A2C,Tower 1A,2,C,438,2BR + 1B + 1OK,2BR,"11,050,000","25,228",10/07/2021,10/07/2021,"$10,000,000",C,
11,One_VicTower 1A2D,Tower 1A,2,D,444,2BR + 1B + 1OK,2BR,"11,699,000","26,349",03/07/2021,03/07/2021,"$10,587,000",C,03/07/2021
12,One_VicTower 1A2E,Tower 1A,2,E,426,2BR + 1B + 1OK,2BR,"11,342,000","26,624",03/07/2021,03/07/2021,"$9,810,000",A,03/07/2021
13,One_VicTower 1A2F,Tower 1A,2,F,447,2BR + 1B + 1OK,2BR,"12,348,000","27,624",10/07/2021,10/07/2021,"$11,174,000",C,
14,One_VicTower 1A2G,Tower 1A,2,G,765,3BR + 2B + 1K + 1S,3BR,"21,182,000","27,689",03/07/2021,03/07/2021,"$18,322,000",A,03/07/2021
15,One_VicTower 1A2H,Tower 1A,2,H,643,3BR + 2B + 1K,3BR,"17,972,000","27,950",,,,,
16,One_VicTower 1A3A,Tower 1A,3,A,643,3BR + 2B + 1K,3BR,"16,545,000","25,731",03/07/2021,03/07/2021,"$14,311,000",A,03/07/2021
